MeterID,Name,Totalflow,Col_Order,IsActive,READINGTYPE,ITEM,Statutory,Description,MeterType,MeterNo,MasterStationID,Date_Time,UOMID,GroupID,Level,Formula,FlowRate,MaxReading,Prefix,ActualFormula,SlaveID,FlowRate_Current
174,RO ID BACKWASH,2298912,0,0,Auto,Water,0,,113,3,1,27-12-2020 13:10,5,10,1,NULL,50000,2599999.999,A,NULL,NULL,587
175,TREATED WATER 1 BACKWASH,1907118,0,0,Auto,Water,0,,113,4,1,27-02-2021 12:56,5,10,1,NULL,50000,260000000,A,NULL,NULL,0
176,TREATED WATER 2 BACKWASH,1042839,0,0,Auto,Water,0,,113,5,1,27-02-2021 12:56,5,10,1,NULL,50000,2599999.999,A,NULL,NULL,0
177,SETTLING CLARIFIER SLUDGE,1661996,0,0,Auto,Water,0,,113,6,1,18-01-2021 12:42,5,10,1,NULL,50000,26000000,A,NULL,NULL,0
178,OLD SECONDARY SLUDGE,5267678,0,0,Auto,Water,0,,113,7,1,27-02-2021 12:56,5,10,1,NULL,50000,26000000000,A,NULL,NULL,0
179,NEW SECONDARY SLUDGE,2277557,0,0,Auto,Water,0,,113,8,1,18-01-2021 12:42,5,10,1,NULL,500000,2599999.999,A,NULL,NULL,0
180,OLD TERITORY CLARIFIER SLUDGE,5448432,0,0,Auto,Water,0,,113,9,1,27-02-2021 12:56,5,10,1,NULL,500000,2600000000,A,NULL,NULL,0
181,NEW TERITORY CLARIFIER SLUDGE,4817721,0,0,Auto,Water,0,,113,10,1,27-02-2021 12:56,5,10,1,NULL,500000,26000000,A,NULL,NULL,0
182,MN02 FILTER FEED TANK,48,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
183,ETP TREATED WATER TANK III,94,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
184,EVAPRATOR FEED TANK,43,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
185,CRYSTACIZER FEED TANK,95,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,25000,NULL,NULL,NULL,0
186,HOLDING TANK,53,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,25000,NULL,NULL,NULL,0
187,COLLECTION TANK,65,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
188,ETP FEED TANK,75,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,25000,NULL,NULL,NULL,0
189,OIL FORCED TANK,61,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:56,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
190,FIRST RO FEED TANK,84,0,0,Auto,TankLevel,0,,1,NULL,NULL,27-02-2021 12:55,7,16,1,NULL,0,250000,NULL,NULL,NULL,0
191,PLUVIA RO WATER,0,0,0,Auto,Water,0,,18,NULL,NULL,NULL,5,10,1,NULL,50000,30000000,A,NULL,NULL,NULL
201,MV PANEL (PRINTING),16532968,3000,1,Auto,Energy,0,MV PANEL (PRINTING),81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
202,MLSB-3,153323.3125,3010,1,Auto,Energy,0,MLSB-3,81,NULL,NULL,29-10-2023 11:41,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
203,MHM FLASH LIGHT,270328.125,3170,1,Auto,Energy,0,MHM FLASH LIGHT,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
204,VTA 15 1&2 (PRINITNG SSB-27) ,1170873,3030,1,Auto,Energy,0,VTA 15 1&2 (PRINITNG SSB-27) ,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
205,MLSB-4,23649.4434,3020,1,Auto,Energy,0,MLSB-4,81,NULL,NULL,19-02-2025 14:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
206,MHM CONTROL PANEL-1,34105.8125,3160,1,Auto,Energy,0,MHM CONTROL PANEL-1,81,NULL,NULL,19-02-2025 13:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
207,MHM GAS CURING-1 ,75510.125,3200,1,Auto,Energy,0,MHM GAS CURING-1 ,81,NULL,NULL,19-02-2025 13:40,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
208,ROTARY-1,283631.875,3080,1,Auto,Energy,0,ROTARY-1,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
209,ROTARY-2,482237.4375,3090,1,Auto,Energy,0,ROTARY-2,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
210,ROTARY-3,911549.3125,3100,1,Auto,Energy,0,ROTARY-3,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
211,SSB-21,725003.0625,3025,1,Auto,Energy,0,SSB-21,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
212,AGER-1,46793.3203,3120,1,Auto,Energy,0,AGER-1,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
213,AGER-2,48134.6836,3130,1,Auto,Energy,0,AGER-2,81,NULL,NULL,19-02-2025 14:58,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
214,COMPRESSOR-7,102334.4688,3050,1,Auto,Energy,0,COMPRESSOR-7,81,NULL,NULL,15-02-2025 20:28,6,18,1,NULL,999999,99999999,A,NULL,NULL,-1
